,iter,xMin,xMax,xNew,nXmin,nXmax,Rcc,Rsc,Rst,Nrd
0,0.0,1e-05,0.9275,0.463755,1e-05,0.463755,783.456103125,-24.957185672412017,-108.69565217391305,649.803265278675
1,1.0,1e-05,0.463755,0.2318825,1e-05,0.2318825,391.7364984375001,-17.69434695495131,-108.69565217391305,265.3464993086357
2,2.0,1e-05,0.2318825,0.11594625,1e-05,0.11594625,195.87669609375,-4.357984508486968,-108.69565217391305,82.82305941135
3,3.0,1e-05,0.11594625,0.057978125,0.057978125,0.11594625,97.94679492187502,1.0791999419654548,-108.69565217391305,-9.669657310072566
4,4.0,0.057978125,0.11594625,0.0869621875,0.057978125,0.0869621875,146.91174550781253,-1.553091534387916,-108.69565217391305,36.66300179951158
5,5.0,0.057978125,0.0869621875,0.07247015625,0.057978125,0.07247015625,122.42927021484377,-0.21638190245003752,-108.69565217391305,13.517236138480683
6,6.0,0.057978125,0.07247015625,0.065224140625,0.057978125,0.065224140625,110.18803256835939,0.43643044077214194,-108.69565217391305,1.928810835218485
7,7.0,0.057978125,0.065224140625,0.0616011328125,0.0616011328125,0.065224140625,104.0674137451172,0.7590560064453553,-108.69565217391305,-3.869182422350505
8,8.0,0.0616011328125,0.065224140625,0.06341263671875,0.06341263671875,0.065224140625,107.1277231567383,0.5980552273231835,-108.69565217391305,-0.9698737898515617
9,9.0,0.06341263671875,0.065224140625,0.064318388671875,0.06341263671875,0.064318388671875,108.65787786254886,0.5173210614940068,-108.69565217391305,0.4795467501298134
10,10.0,0.06341263671875,0.064318388671875,0.0638655126953125,0.0638655126953125,0.064318388671875,107.89280050964358,0.5577076728869749,-108.69565217391305,-0.24514399138249132
11,11.0,0.0638655126953125,0.064318388671875,0.06409195068359375,0.0638655126953125,0.06409195068359375,108.2753391860962,0.5375192528536953,-108.69565217391305,0.11720626503685594
12,12.0,0.0638655126953125,0.06409195068359375,0.06397873168945312,0.06397873168945312,0.06409195068359375,108.08406984786987,0.547614683842918,-108.69565217391305,-0.06396764220025375
13,13.0,0.06397873168945312,0.06409195068359375,0.06403534118652343,0.06397873168945312,0.06403534118652343,108.17970451698304,0.5425672736468378,-108.69565217391305,0.026619616716828887
14,14.0,0.06397873168945312,0.06403534118652343,0.06400703643798827,0.06400703643798827,0.06403534118652343,108.13188718242645,0.5450910550625859,-108.69565217391305,-0.018673936424008275
15,15.0,0.06400703643798827,0.06403534118652343,0.06402118881225585,0.06400703643798827,0.06402118881225585,108.15579584970476,0.5438291834350045,-108.69565217391305,0.003972859226720971
16,16.0,0.06400703643798827,0.06402118881225585,0.06401411262512206,0.06401411262512206,0.06402118881225585,108.14384151606559,0.5444601240187606,-108.69565217391305,-0.007350533828699213
17,17.0,0.06401411262512206,0.06402118881225585,0.06401765071868895,0.06401765071868895,0.06402118881225585,108.14981868288517,0.5441446549193872,-108.69565217391305,-0.0016888361084852477
18,18.0,0.06401765071868895,0.06402118881225585,0.0640194197654724,0.06401765071868895,0.0640194197654724,108.15280726629496,0.5439869194753242,-108.69565217391305,0.001142011857240277
19,19.0,0.06401765071868895,0.0640194197654724,0.06401853524208068,0.06401853524208068,0.0640194197654724,108.15131297459006,0.544065787271888,-108.69565217391305,-0.00027341205110076316
20,20.0,0.06401853524208068,0.0640194197654724,0.06401897750377654,0.06401853524208068,0.06401897750377654,108.15206012044251,0.5440263533922386,-108.69565217391305,0.0004342999217072929
21,21.0,0.06401853524208068,0.06401897750377654,0.06401875637292861,0.06401853524208068,0.06401875637292861,108.15168654751629,0.5440460703367207,-108.69565217391305,8.044393996442523e-05
22,22.0,0.06401853524208068,0.06401875637292861,0.06401864580750465,0.06401864580750465,0.06401875637292861,108.15149976105317,0.5440559288054689,-108.69565217391305,-9.648405440998431e-05
23,23.0,0.06401864580750465,0.06401875637292861,0.06401870109021662,0.06401870109021662,0.06401875637292861,108.15159315428473,0.5440509995713864,-108.69565217391305,-8.020056938562448e-06
24,24.0,0.06401870109021662,0.06401875637292861,0.06401872873157262,0.06401870109021662,0.06401872873157262,108.15163985090052,0.5440485349541262,-108.69565217391305,3.6211941605301945e-05
25,25.0,0.06401870109021662,0.06401872873157262,0.06401871491089461,0.06401870109021662,0.06401871491089461,108.15161650259262,0.5440497672627749,-108.69565217391305,1.4095942347580603e-05
26,26.0,0.06401870109021662,0.06401871491089461,0.06401870800055562,0.06401870109021662,0.06401870800055562,108.15160482843865,0.5440503834170856,-108.69565217391305,3.037942690298223e-06
27,27.0,0.06401870109021662,0.06401870800055562,0.06401870454538612,0.06401870454538612,0.06401870800055562,108.1515989913617,0.5440506914942377,-108.69565217391305,-2.491057117026685e-06
28,28.0,0.06401870454538612,0.06401870800055562,0.06401870627297088,0.06401870454538612,0.06401870627297088,108.1516019099002,0.5440505374556606,-108.69565217391305,2.734428079520512e-07
